,0,1
Bukadra,25.1765148,55.3257751
Wadi Al Safa 5,25.0842543,55.3729759
Wadi Al Safa 3,25.10571265,55.316535293610826
MOTOR CITY,38.733792,-120.7404881
THE VALLEY,18.2145861,-63.0517759
Nad Al Shiba First,,
Al Yelayiss 2,,
PALM JUMEIRAH,25.1180879,55.1342009
Al Hebiah Fifth,,
DAMAC HILLS,25.0264384,55.251228
MBR DISTRICT 1,14.7694466,121.0797563
Madinat Hind 4,25.0077507,55.3637056
DOWN TOWN JABAL ALI,,
Al Hebiah Sixth,,
THE WORLD,25.23726785,55.195494157283456
THE FIELD,55.96384865,-3.27003503201289
Warsan First,,
INTERNATIONAL CITY PH 2 & 3,25.1316312,55.38673493715861
Wadi Al Safa 2,25.0987828,55.351406478118335
EMAAR SOUTH,24.8633475,55.1417885
Trade Center First,25.2299822,55.2865869
LIWAN,23.1100378,113.2136488
DUBAI DESIGN DISTRICT,25.188132,55.29744343116474
Palm Jumeirah,25.1180879,55.1342009
MEYDAN AVENUE,25.15913045,55.29614386605405
DISCOVERY GARDENS,25.0352571,55.1454134
CITY WALK,25.2081589,55.26187365641171
Jumeirah Third,,
DUBAI SCIENCE PARK,25.068451596904332,55.245708496699365
Dubai Investment Park First,,
CHERRYWOODS,25.01600445,55.2909518531374
TILAL AL GHAF,25.02426745,55.22382996438196
NAD AL SHEBA GARDENS,25.1659652,55.307881779331815
LA MER,47.8163651,6.6048545
DUBAI INVESTMENT PARK SECOND,24.98204425,55.1964194133587
Ras Al Khor Industrial First,25.1797722,55.3345395
ARABIAN RANCHES II,25.03439685,55.27332788354515
REMRAAM,25.0013542,55.24885632771925
BARSHA HEIGHTS,25.0982842,55.1757823
EMIRATE LIVING,,
THE VILLA,39.6634456,-75.6427065
Al Mizhar First,,
Al Warqa Third,25.190661,55.4227553522109
DUBAI INDUSTRIAL CITY,24.8399006,55.0662934
JUMEIRAH BEACH RESIDENCE,25.0778021,55.13518094856796
Mirdif,25.2150727,55.4089036
INTERNATIONAL CITY PH 1,28.5095008,76.99405825015342
THE GREENS,35.76607995,-78.67345487078148
Al Hamriya,25.2599297,55.3031938
Al Warqa First,,
DUBAI SOUTH,24.9144391,55.1615128
THE LAKES,54.47853045,-3.06553306667584
JABEL ALI HILLS,,
Al Mizhar Second,,
AL KHAIL HEIGHTS,25.15586015,55.2536875439334
JUMEIRAH LIVING,25.0875891,55.1471081
Zaabeel Second,,
Al Barsha Third,,
MIRA,39.7210593,-1.4395226
RUKAN,58.6359059,7.4070239
Al Satwa,25.2208602,55.2737617
Al Rashidiya,25.222025,55.3910064
JUMEIRA BAY,23.5499083,58.6434186
GRAND VIEWS,25.1456862,55.300144314906376
Al Goze First,,
ARABIAN RANCHES I,25.04875135,55.26728851815184
AL BARARI,25.118865,55.3209685
SERENA,41.4864628,-88.7312291
Al Khawaneej First,,
MUDON,-38.8905348,-70.06475043521885
Al Muteena,25.2700926,55.3106648
Muhaisanah First,,
Al Thanyah Fifth,,
Zaabeel First,,
BLUEWATERS,25.07954805,55.12170421845323
JUMEIRAH PARK,25.0469412,55.15481775751905
Al Manara,33.195939,35.5446083
Nad Al Hamar,25.22667895156149,55.376905321669966
Naif,40.4243517,-3.7018731
MILLENNIUM,40.7570832,-73.98479235463026
Al Twar Second,25.27122485,55.364130332632215
Al Barsha First,25.1071127,55.1984575
Nad Al Shiba Third,,
PEARL JUMEIRA,25.244474,55.25895972097338
SAMA AL JADAF,,
Port Saeed,25.2604609,55.3296278
Al Garhoud,25.2407367,55.3520393
Hor Al Anz,25.2822545,55.348484
JUMEIRAH ISLANDS,25.0570585,55.15614637904315
Jumeirah Second,,
Eyal Nasser,,
Al Barshaa South Second,,
Al Bada,28.4841608,35.0141103
FALCON CITY OF WONDERS,25.0955281,55.3393384
ARABIAN RANCHES POLO CLUB,25.03741425,55.25395447616396
LIWAN 2,,
Um Suqaim First,,
POLO TOWNHOUSES IGO,,
Al Warqa Fourth,,
JUMEIRAH HEIGHTS,25.06553675,55.14557004705467
Island 2,55.31299725,-1.5543085591851735
Mankhool,25.251801,55.29777548332489
DUBAI WATER FRONT,,
Hor Al Anz East,25.2822545,55.348484
Al Saffa Second,,
Ghadeer Al tair,25.1509135,55.2720063
Al Karama,25.2482136,55.3050609
Al Barshaa South Third,,
CITY OF ARABIA,25.0924395,55.336933
Nad Al Shiba Fourth,,
Abu Hail,25.2860287,55.328865
Me'Aisem First,,
Al Jafliya,25.216522,55.2644949
Al Kheeran,24.44418755,54.45712945710038
Al Mamzer,,
MARSA AL ARAB,25.1443793,55.18950369674157
SUSTAINABLE CITY,25.030861,55.281554136970925
Al Suq Al Kabeer,25.2639134044859,55.29226263640029
Al Barsha Second,,
AL WAHA,30.0395508,31.372930856525823
Al Twar Fourth,,
Jumeirah First,21.41833505,39.82229506641366
Um Suqaim Second,,
Al Waheda,25.2915387,55.3373622
Nad Al Shiba Second,,
Al Mizhar Third,,
Jabal Ali Industrial First,24.982860074634765,55.11508202845593
Al Rowaiyah Third,,
Wadi Al Amardi,25.20929,55.4879092
Madinat Hind 3,25.029488,55.4254573
Nadd Hessa,25.1219309,55.3850506
AL Athbah,15.950245,44.183845
Oud Al Muteena First,,
Al Warqa Second,,
Al Barshaa South First,,
Al Hebiah Third,,
Muhaisanah Fourth,,
Al Khawaneej Second,,
Al Qusais Second,,
Al Goze Fourth,,
Al Nahda First,31.0666975,29.898911665838625
Al Eyas,25.27868915,51.4823162
Al Yelayiss 5,,
Al Hudaiba,25.2428328,55.279212
Palm Jabal Ali,24.9876012,55.02200636687711
Al Twar Third,,
Al Aweer Second,,
Saih Aldahal,,
Saih Shuaib 2,24.8578572,55.0608716
Um Al Sheif,,
Al Raffa,25.2542057,55.2879667
Al Nahda Second,30.99280655,29.84224736680252
Um Ramool,25.2310318,55.3674888
DUBAI INVESTMENT PARK FIRST,,
Trade Center Second,14.6514242,121.02938725
Dubai Investment Park Second,24.98204425,55.1964194133587
Me'Aisem Second,,
DUBAI GOLF CITY,25.01130525,55.23426739724147
PALM DEIRA,25.2761408,55.3016752
Warsan Fourth,,
HORIZON,49.5179943,-105.2259668
Hessyan First,,
Al Khabeesi,25.26610755,55.327714764160746
Al Goze Third,,
Al Thanyah Third,,
Dubai International Airport,25.2521287,55.365715576690505
Muhaisanah Third,,
Um Hurair First,,
Al Mararr,,
MEDYAN RACE COURSE VILLAS,,
Lehbab First,,
Al Qusais First,,
Al Lusaily,,
Rega Al Buteen,,
Al Rega,54.6899818,25.2639625
Nad Shamma,25.2177763,55.38384350452733
Ras Al Khor Industrial Second,,
Mushrif,25.2142599,55.4506587
Al Qusais Industrial Second,,
Al Murqabat,,
Saih Shuaib 4,24.8238246,55.0971343
Al Warsan First,,
Al Baraha,25.2809884,55.3195255
Al Ras,25.2687742,55.2936231
Al Twar First,,
Al Khairan First,,
PALMAROSA,3.3715327,-75.6356918
Al Saffa First,,
Lehbab Second,,
DUBAI HEALTHCARE CITY - PHASE 1,25.23181945,55.32250393537943
Ras Al Khor Industrial Third,,
DMCC-EZ2,,
Madinat Latifa,24.8990386,55.2785861
Hessyan Second,,
Al Goze Industrial Third,,
Al Ttay,25.2321563,55.5563174
Oud Metha,25.2439301,55.3158939
DUBAI INTERNATIONAL ACADEMIC CITY,25.107765800000003,55.40161073290589
Al Dhagaya,25.2726408,55.3002405
Al Goze Industrial Second,,
Al Goze Industrial Fourth,,
Al Qusais Industrial Third,25.3260017,55.4331454
Al Warsan Second,,
Al Qusais Industrial Fourth,,
Al Qusais Industrial First,,
IBN BATTUTA ,25.0466788,55.1174939
PALM JABAL ALI,24.9876012,55.02200636687711
Jabal Ali,25.0578769,55.1273617
Al Goze Industrial First,,
Al Hebiah Second,,
Grayteesah,24.87115215,55.5072782974985
Al Safouh First,,
Muhaisanah Second,,
Al Sabkha,25.2692256,55.3024936
Al Warsan Third,,
Muragab,,
DUBAI LIFESTYLE CITY,25.04260265,55.28216284609378
Al Qusais Industrial Fifth,,
Al Buteen,25.2595231,55.3195095
Mena Jabal Ali,,
Saih Shuaib 1,24.9024228,55.0059684
Al Yelayiss 1,,
Nazwah,25.01878065,55.645710625367485
Mugatrah,24.7923464,55.1951843
